Algorithm,Seed,Round,Accuracy,F1_Score,AUC,MAE
HE-FL-IoT (Proposed),1,1,20.02827009363464,0.18996267806828457,0.5,0.40600039750319333
HE-FL-IoT (Proposed),1,2,18.563245370079446,0.175445949359514,0.5,0.41288535398655973
HE-FL-IoT (Proposed),1,3,19.69140929360904,0.18954745245006535,0.5,0.4059335918669812
HE-FL-IoT (Proposed),1,4,20.960382539719156,0.18932391811306626,0.5,0.39545470688128526
HE-FL-IoT (Proposed),1,5,21.943608656836044,0.19984346988248686,0.5,0.3913807270535696
HE-FL-IoT (Proposed),1,6,21.665974572987555,0.20790747680468588,0.5,0.3988365434014926
HE-FL-IoT (Proposed),1,7,21.522765982891045,0.20017393103485184,0.5,0.4011411970171387
HE-FL-IoT (Proposed),1,8,23.86385917803637,0.2276199064388353,0.5,0.38383095580877236
HE-FL-IoT (Proposed),1,9,25.106134270596183,0.23196982948674766,0.5,0.3746166054812115
HE-FL-IoT (Proposed),1,10,25.455118184614246,0.24291884408508674,0.5,0.38124430543585414
HE-FL-IoT (Proposed),1,11,25.14140763928805,0.22840188387192176,0.5,0.38314379136699644
HE-FL-IoT (Proposed),1,12,26.329756789969654,0.2446595706444741,0.5,0.36918677535684297
HE-FL-IoT (Proposed),1,13,27.295666310280883,0.25657664124931157,0.5,0.3732373987483014
HE-FL-IoT (Proposed),1,14,28.393992316911774,0.2740343603703042,0.5,0.3632979766097836
HE-FL-IoT (Proposed),1,15,29.341755585331942,0.2853719595618791,0.5,0.36177735372664915
HE-FL-IoT (Proposed),1,16,30.992237111503893,0.30274151568891067,0.5,0.35456740074929693
HE-FL-IoT (Proposed),1,17,31.19734805933765,0.28782797579870195,0.5,0.348232892492246
HE-FL-IoT (Proposed),1,18,31.224009543122396,0.3039317172941298,0.5,0.34965261848566226
HE-FL-IoT (Proposed),1,19,33.959831074334176,0.3161045181929796,0.5,0.33829858369736715
HE-FL-IoT (Proposed),1,20,35.0636137025102,0.3268498914938799,0.5,0.3327764494213983
HE-FL-IoT (Proposed),1,21,35.510659020840855,0.3454827637453496,0.5,0.32372845951398604
HE-FL-IoT (Proposed),1,22,36.200592878812074,0.3511020419644183,0.5,0.326745759967883
HE-FL-IoT (Proposed),1,23,36.89194201661967,0.3518782138241761,0.5,0.3244287164084129
HE-FL-IoT (Proposed),1,24,39.11563657624222,0.37362964233617346,0.5,0.3071289542627033
HE-FL-IoT (Proposed),1,25,39.263783882984285,0.36697415584431115,0.5,0.308143460674716
HE-FL-IoT (Proposed),1,26,41.896653327318475,0.40999460888885897,0.5,0.2989513629331006
HE-FL-IoT (Proposed),1,27,41.67157569325632,0.39284068229385183,0.5,0.2962126567672131
HE-FL-IoT (Proposed),1,28,44.15103814395428,0.4170286962286077,0.5,0.28881869166914487
HE-FL-IoT (Proposed),1,29,44.29730728140484,0.4192166572420525,0.5,0.27905024857800886
HE-FL-IoT (Proposed),1,30,45.81309727457853,0.44895518158074693,0.5,0.2808250035347719
HE-FL-IoT (Proposed),1,31,48.01325504640131,0.4537992800593873,0.5,0.2657348571225366
HE-FL-IoT (Proposed),1,32,48.82553900997396,0.4652203354255831,0.5005733058408689,0.2612375132468549
HE-FL-IoT (Proposed),1,33,50.01637022009126,0.47121987332700227,0.515239125175401,0.2581028379350749
